文件夹,文件名,分词内容
1029,15.txt,激动
1029,15.txt,#从神五到神十九#
1029,15.txt,#神十九出征仪式#
1029,15.txt,#中国空间站我们90后来了#
1029,15.txt,#神十九航天员的出征仪式好可爱#
1029,15.txt,“70后”蔡旭哲：“中国空间站，我回来了！”
1029,15.txt,“90后”宋令东、王浩泽：“我们90后也来了！”
1029,15.txt,#90后真的上天了#
1029,15.txt,，期待任务圆满成功！
1029,15.txt,央视新闻的微博视频
1029,15.txt,【分享现场视频！
1029,15.txt,#神十九航天员听着歌唱祖国出征#
1029,15.txt,】在《歌唱祖国》的旋律中，航天员蔡旭哲、宋令东、王浩泽启程前往发射场。
1029,15.txt,#一人一句祝福3名中国航天员#
1029,15.txt,，祝你们成功，等你们凯旋！
1029,15.txt,#神十九发射#
1029,15.txt,🎉夜半特大喜讯！史无前例！🎉
1029,15.txt,今天（30
1029,15.txt,日）凌晨
1029,15.txt,1：37，神舟十九号载人飞船发射成功！蔡旭哲、宋令东、王浩泽
1029,15.txt,名航天员随船出征。
1029,15.txt,这次半夜发射，在世界航天史上罕见至极！这背后是中国科技的巨大飞跃，全天候发射技术全面提升，轨道控制、卫星遥感、综合气象
1029,15.txt,...展开
1029,15.txt,顺利
1029,15.txt,#神十九乘组出征#
1029,15.txt,】神舟十九号载人飞行任务航天员乘组出征仪式在酒泉卫星发射中心问天阁圆梦园广场举行。蔡旭哲、宋令东、王浩泽3名航天员领命出征。（央视新闻客户端）
1029,15.txt,中国新闻网的微博视频
1029,15.txt,【祝一切顺利！
1029,15.txt,#神十九航天员领命出征现场#
1029,15.txt,】今天，神舟十九号载人飞行任务航天员乘组出征仪式在酒泉卫星发射中心问天阁圆梦园广场举行，蔡旭哲、宋令东、王浩泽3名航天员领命出征！预祝
1029,15.txt,#神舟十九号发射圆满成功#
1029,15.txt,#来央视频看神十九发射#
1029,15.txt,特别节目，共同见证中国航天高光时刻→
1029,15.txt,#86岁樊锦诗送神十九乘组出征#
1029,15.txt,】敦煌研究院名誉院长樊锦诗现身神舟十九号载人飞行任务航天员乘组出征仪式现场。她说：“向航天员学习，向航天员致敬，祝你们成功，等你们凯旋！”致敬航天员，致敬樊老！
1029,15.txt,川北小哥的微博视频
1029,15.txt,#王浩泽全系第一保研东大#
1029,15.txt,我国首位“90后”女航天员王浩泽毕业于东南大学，她也是我国首位女性航天飞行工程师。王浩泽是东南大学能源与环境学院08级能源动力工程本科、12级热能工程研究生。学霸说话就是有水平:在太空中精准工作，快乐生活！让每一个日出日落都成为宇宙精彩的记忆！
1029,15.txt,在《歌唱祖国》的旋律中，航天员蔡旭哲、宋令东、王浩泽启程前往发射场。祝你们成功，等你们凯旋！
1029,15.txt,神舟十九号乘组领命出征！
1029,15.txt,#直击神十九发射#
1029,15.txt,#神舟十九号#
1029,15.txt,来源：央视新闻
1029,15.txt,拍摄：刘星
